status,Super_builduparea,project_name,total_unit,area,builder_overview,Builder_price,project_add_spec,builder_desciption,unit_type,possesion_date,Apartment,link,location,project_by,amenities,project_spec,project_desciption,project_overview,rera_id
Launch,"1,267 - 1,924 sq ft",Prestige Dolce Vita,66,1924 sq ft(3BHK+3T), (32   Years of Experience ) (126   Total Projects ) (35   Ongoing Projects ) (  RERA ID ),₹ 75.39 L - ₹ 1.14 Cr,"{u'Walls': {u'Toilets:': u'Imported Ceramic Tiles upto False Ceiling', u'Exterior:': u'Cement Based Paint', u'Kitchen:': u'Ceramic Tiles Dado up to 2 Feet Height Above Platform', u'Interior:': u'Oil Bound Distemper'}, u'Fittings': {u'Toilets:': u'Single Lever CP Brass Fittings', u'Kitchen:': u'Single Bowl Single Drain Steel Sink with Chrome Plated Tap'}, u'Flooring': {u'Toilets:': u'Anti Skid Ceramic Tiles', u'Master Bedroom:': u'Vitrified Tiles', u'Other Bedroom:': u'Vitrified tiles', u'Kitchen:': u'Vitrified Tiles', u'Living/Dining:': u'Vitrified tiles', u'Balcony:': u'Anti skid ceramic tiles'}, u'Doors': {u'Internal:': u'Laminated Flush Door', u'Main:': u'Wooden Frame'}, u'Others': {u'Switches:': u'Modular Switches', u'Wiring:': u'Copper Wiring in PVC Concealed Conduit', u'Lobby:': u'Granite Marble', u'Frame Structure:': u'RCC framed structure', u'Windows:': u'2 Track UPVC Sliding Window with Mosquito Mesh Shutter'}}","Envisioned by Mr. Razack Sattar in 1956, Prestige Group ventured into real estate projects in 1986. Today, it is acknowledged as one of the south India’s leading property developers. Irfan Razack is the chairman and managing director of this group.  Infrastructural developments of the company spans across retail, residential, commercial, leisure and hospitality sectors and covers cities such as Cochin, Bangalore, Chennai, Goa, Mangalore and Hyderabad.  Presently, Prestige has 65 ongoing pr... more",3 BHK,Possession date: Nov'20,"2, 3 BHK",https://www.proptiger.com/bangalore/whitefield-hope-farm-junction/prestige-group-dolce-vita-780759,Whitefield Hope Farm Junction,Prestige Group, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Club House  5: Car Parking  6: Lift Available  7: Power Backup  8: CCTV ,"{u'Apartment': u'2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'1,267\xa0-\xa01,924\xa0sq ft', u'Builder price': u'\u20b9\xa075.39 L\xa0-\xa0\u20b9\xa01.14 Cr'}","The Prestige Dolce Vita has built up their excellent project in the Whitefield Hope Farm Junction region of Bengaluru. This organization offers great plots. The locality is well settled with all kinds of facilities available within a kilometre. There are hospitals, banking, ATM, petrol pumps, bus stations, schools, play schools, restaurants, park, metro station etc. The project offers many amenities like a security system, a power back up, a garden and much more. The entire project is all set for moving in. The surrounding of the project is well occupied with a naturist value.","{u'Status': u'Launch', u'Total Area': u'1.36\xa0Acres', 'total_unit': u'66', u'Possession Date(s)': u""Nov'20"", u'Launch Date': u""Nov'17"", u'Availability': u'New'}",RERA ID: PR/KN/170905/002015
On Hold,"538 - 1,396 sq ft",Vikram Crescent,105,1396 sq ft(1BHK+1T), (11   Total Projects ) (0   Ongoing Projects ) (  RERA ID ),₹ 49.50 L - ₹ 1.28 Cr,"{u'Walls': {u'Toilets:': u'Ceramic Tiles Dado', u'Interior:': u'Acrylic Emulsion Paint'}, u'Fittings': {u'Toilets:': u'Branded CP Fittings and Sanitary Ware'}, u'Flooring': {u'Toilets:': u'Anti Skid Tiles', u'Living/Dining:': u'Vitrified tiles', u'Other Bedroom:': u'Vitrified tiles', u'Balcony:': u'Anti Skid Tiles', u'Master Bedroom:': u'Vitrified Tiles', u'Kitchen:': u'Vitrified Tiles'}, u'Doors': {u'Internal:': u'Laminated Flush Door', u'Main:': u'Decorative Main Door'}, u'Others': {u'Points:': u'Living', u'Switches:': u'Modular Switches', u'Wiring:': u'Concealed copper wiring', u'Windows:': u'Aluminium Powder Coated 3-Track Sliding with Reflective Glass'}}","Vikram Structures Pvt Ltd is a leading real estate development company that possesses more than two decades of experience in the industry. The portfolio of property by Vikram Structures Pvt Ltd includes plotted developments, commercial projects, contractual projects and residential- housing projects. Vikram Structures Pvt Ltd emphasizes highly on cutting-edge design and innovation, in addition to quality and affordability. The company also emphasizes highly on building long-term customer relatio... more",1 BHK,Possession date: May'19,1 BHK,https://www.proptiger.com/bangalore/yeshwantpur/vikram-structures-pvt-ltd-crescent-1283811,Yeshwantpur,Vikram Structures Pvt Ltd, 1: Gymnasium  2: Rain Water Harvesting  3: 24 X 7 Security  4: Power Backup  5: Landscaped Gardens  6: Car Parking  7: Lift Available  8: Cafeteria ,"{u'Apartment': u'1\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'538\xa0-\xa01,396\xa0sq ft', u'Builder price': u'\u20b9\xa049.50 L\xa0-\xa0\u20b9\xa01.28 Cr'}","Yeshwantpur in Bengaluru is a growing region which has many projects going on. The Vikram Structures Pvt Ltd Crescent Company is offering premium apartments in this region in a project which is still under construction. There are many facilities nearby this area like banks, ATMs, restaurants, petrol pumps, shopping mall, higher education facilities, commercial complex, hospitals, parks, schools, play schools, office complexes, bus stations, and much more. The area is also well accessible from all the parts of the city. Other amenities like intercom services, power back up system, and a childrens a playground is also provided by the project. The price of the apartments is based on the request value.","{u'Status': u'On Hold', u'Total Area': u'0.5\xa0Acres', 'total_unit': u'105', u'Possession Date(s)': u""May'19"", u'Launch Date': u""May'16"", u'Availability': u'None'}",
Launch,"862 - 1,603 sq ft",Prestige Fontaine Bleau,60,1603 sq ft(3BHK+3T), (32   Years of Experience ) (126   Total Projects ) (35   Ongoing Projects ) (  RERA ID ),₹ 50.86 L - ₹ 94.58 L,"{u'Walls': {u'Toilets:': u'Imported Ceramic Tiles upto False Ceiling', u'Exterior:': u'Texture Paint', u'Kitchen:': u'Ceramic Tiles Dado up to 2 Feet Height Above Platform', u'Interior:': u'Paint, Distemper'}, u'Fittings': {u'Toilets:': u'Chrome Plated Fittings', u'Kitchen:': u'Single Bowl Single Drain Steel Sink with Chrome Plated Tap'}, u'Flooring': {u'Toilets:': u'Anti Skid Ceramic Tiles', u'Living/Dining:': u'Vitrified tiles', u'Other Bedroom:': u'Vitrified tiles', u'Balcony:': u'Anti Skid Tiles', u'Master Bedroom:': u'Vitrified Tiles', u'Kitchen:': u'Vitrified Tiles'}, u'Doors': {u'Internal:': u'Laminated Flush Door', u'Main:': u'Flush Door'}, u'Others': {u'Switches:': u'Modular Switches', u'Lobby:': u'Vitrified Tiles', u'Wiring:': u'Concealed copper wiring', u'Frame Structure:': u'RCC framed structure', u'Windows:': u'2 Track UPVC Sliding Window with Mosquito Mesh Shutter'}}","Envisioned by Mr. Razack Sattar in 1956, Prestige Group ventured into real estate projects in 1986. Today, it is acknowledged as one of the south India’s leading property developers. Irfan Razack is the chairman and managing director of this group.  Infrastructural developments of the company spans across retail, residential, commercial, leisure and hospitality sectors and covers cities such as Cochin, Bangalore, Chennai, Goa, Mangalore and Hyderabad.  Presently, Prestige has 65 ongoing pr... more",3 BHK,Possession date: Nov'20,"1, 2, 3 BHK",https://www.proptiger.com/bangalore/whitefield-hope-farm-junction/prestige-group-fontaine-bleau-780756,Whitefield Hope Farm Junction,Prestige Group, 1: Swimming Pool  2: Children's play area  3: Club House  4: Gymnasium  5: Power Backup  6: Landscaped Gardens  7: Indoor Games  8: Car Parking  9: Lift Available  10: CCTV  11: Spa/Sauna/Steam  12: Party Hall ,"{u'Apartment': u'1, 2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'862\xa0-\xa01,603\xa0sq ft', u'Builder price': u'\u20b9\xa050.86 L\xa0-\xa0\u20b9\xa094.58 L'}","Prestige Fontaine Bleau real estate association has amazed the market by building the best housing place in Bengaluru. This organization is offering premium apartments of best quality. These apartments are all set for moving in purpose. The amenities offered by this company and housing complex are a playground for the children, a garden, 24 hours security, a car parking and much more. The location has the benefit of other services like hospitals, bankings, ATM, petrol pumps, bus stations, schools, rail stations, restaurants, play schools etc. at a very short distance.","{u'Status': u'Launch', u'Total Area': u'1.05\xa0Acres', 'total_unit': u'60', u'Possession Date(s)': u""Nov'20"", u'Launch Date': u""Nov'17"", u'Availability': u'New'}",RERA ID: PR/KN/170905/002017
On Hold,"1,100 - 1,975 sq ft",Esteem Altitude,100,1975 sq ft(3BHK+4T + Study Room), (23   Years of Experience ) (26   Total Projects ) (2   Ongoing Projects ) (  RERA ID ),₹ 73.70 L - ₹ 1.32 Cr,{},"Esteem is a well-known real estate company, which was established in 1995 by Naraindas Bodaram Ahuja. It is one of the major developers with its presence in Bangalore. The company is engaged in the development of residential and commercial properties. Unique Selling Points The developer has been recognised for setting benchmarks in the industry. Another major USP of the company is its customer centric approach. Projects by Esteem Group reflect latest construction technology, style, luxury and en... more",3 BHK,Possession date: May'18,"2, 3 BHK",https://www.proptiger.com/bangalore/yeshwantpur/esteem-altitude-664504,Yeshwantpur,Esteem, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Club House  5: Multipurpose Room  6: Rain Water Harvesting  7: Intercom  8: Landscaped Gardens  9: Indoor Games  10: 24 X 7 Security  11: Jogging Track ,"{u'Apartment': u'2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'1,100\xa0-\xa01,975\xa0sq ft', u'Builder price': u'\u20b9\xa073.70 L\xa0-\xa0\u20b9\xa01.32 Cr'}","Esteem Altitude offers 2 and 3 BHK luxury apartments in Yeshwantpur, Bangalore. This residential venture is launched by the Esteem Group, which is established in the year 1995. It is an emerging Bangalore based real estate developer that includes development of residential and commercial properties in its portfolio. Esteem Altitude has several restaurants, metro station, mall, educational institutions and hospitals within a walking distance. Esteem Altitude is loaded with a range of amenities within the premises including gymnasium, swimming pool, children's play area, club house, multipurpose room, rain water harvesting, intercom, landscaped gardens, indoor games and more.","{u'Possession Date(s)': u""May'18"", u'Status': u'On Hold', 'total_unit': u'100', u'Availability': u'None'}",
Under Construction,"2,800 - 3,600 sq ft",RNS Shrinikethan,108,3600 sq ft(4BHK+5T + Servant Room), (57   Years of Experience ) (2   Total Projects ) (1   Ongoing Projects ) (  RERA ID ),₹ 2.38 Cr - ₹ 3.24 Cr,"{u'Walls': {u'Toilets:': u'Ceramic Tiles Dado', u'Exterior:': u'Weather Proof Paint', u'Kitchen:': u'Glazed Tiles Dado up to 2 Feet Height Above Platform', u'Interior:': u'Acrylic Emulsion Paint'}, u'Fittings': {u'Toilets:': u'Branded CP Fittings and Sanitary Ware', u'Kitchen:': u'Granite Platform with Stainless Steel Sink'}, u'Flooring': {u'Toilets:': u'Anti Skid Tiles', u'Living/Dining:': u'Marble Granite Tiles', u'Other Bedroom:': u'Vitrified Tiles', u'Balcony:': u'Vitrified Tiles', u'Master Bedroom:': u'RAK/Laminated Wooden Flooring', u'Kitchen:': u'Vitrified Tiles'}, u'Doors': {u'Internal:': u'Sal Wood Frame', u'Main:': u'Teak Wood Frame and Shutter'}, u'Others': {u'Windows:': u'UPVC'}}","RNS Infrastructure was established in the year 1961 and is a partnership firm owned by the R N Shetty Group. The firm spreads its wings to become a private limited company in the year 2003. The list of property by RNS spans some of the country’s finest and most acclaimed infrastructure and residential projects. The company specializes in the construction of power projects, tunnels, bridges, buildings, irrigation projects, reservoirs, highways and dams apart from residential projects. The G... more",4 BHK,Possession date: Jun'19,"3, 4 BHK",https://www.proptiger.com/bangalore/yeshwantpur/rns-shrinikethan-641844,Yeshwantpur,RNS, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Intercom  5: Multipurpose Room  6: Intercom  7: Landscaped Gardens  8: Rain Water Harvesting  9: Maintenance Staff  10: Jogging Track  11: Club House  12: Indoor Games  13: Power Backup ,"{u'Apartment': u'3, 4\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'2,800\xa0-\xa03,600\xa0sq ft', u'Builder price': u'\u20b9\xa02.38 Cr\xa0-\xa0\u20b9\xa03.24 Cr'}",,"{u'Status': u'Under Construction', u'Total Area': u'5\xa0Acres', 'total_unit': u'108', u'Possession Date(s)': u""Jun'19"", u'Launch Date': u""Mar'15"", u'Availability': u'New'}",RERA ID: PR/KN/170808/001215
Under Construction,"1,313 - 3,396 sq ft",Jain Grand West,182,3396 sq ft(4BHK+4T), (10   Total Projects ) (2   Ongoing Projects ) (  RERA ID ),₹ 1.09 Cr - ₹ 2.58 Cr,{},,4 BHK,Possession date: Mar'20,"2, 3, 4 BHK",https://www.proptiger.com/bangalore/yeshwantpur/jain-heights-grand-west-663579,Yeshwantpur,Jain Heights, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Club House  5: Multipurpose Room  6: Jogging Track  7: Cafeteria  8: Rain Water Harvesting  9: Intercom  10: 24 X 7 Security  11: Power Backup  12: Landscaped Gardens  13: Maintenance Staff  14: Indoor Games  15: Vaastu Compliant  16: Car Parking  17: Lift Available ,"{u'Apartment': u'2, 3, 4\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'1,313\xa0-\xa03,396\xa0sq ft', u'Builder price': u'\u20b9\xa01.09 Cr\xa0-\xa0\u20b9\xa02.58 Cr'}",,"{u'Status': u'Under Construction', u'Total Area': u'1.79\xa0Acres', 'total_unit': u'182', u'Possession Date(s)': u""Mar'20"", u'Launch Date': u""Oct'15"", u'Availability': u'New'}",
Under Construction,"1,250 - 1,655 sq ft",Pratham Indraprastha,253,1655 sq ft(3BHK+3T), (73   Years of Experience ) (2   Total Projects ) (1   Ongoing Projects ) (  RERA ID ),₹ 81.25 L - ₹ 1.08 Cr,"{u'Walls': {u'Toilets:': u'Ceramic Tiles up to Ceiling Level', u'Exterior:': u'Weather proof paint', u'Kitchen:': u'Glazed Tiles Dado up to 2 Feet Height Above Platform', u'Interior:': u'Emulsion Paint'}, u'Fittings': {u'Toilets:': u'EWCs and Chrome Plated Fittings', u'Kitchen:': u'Granite platform with stainless steel sink'}, u'Flooring': {u'Toilets:': u'Anti Skid Ceramic Tiles', u'Master Bedroom:': u'Vitrified Tiles', u'Other Bedroom:': u'Vitrified tiles', u'Kitchen:': u'Vitrified Tiles', u'Living/Dining:': u'Vitrified tiles', u'Balcony:': u'Anti skid ceramic tiles'}, u'Doors': {u'Main:': u'Teak Wood Frame', u'Internal:': u'Wooden Frames and Flush Shutters'}, u'Others': {u'Points:': u'Living', u'Switches:': u'Modular Switches', u'Wiring:': u'Concealed copper wiring', u'Frame Structure:': u'RCC Frame'}}","The company started 70 years back and today stands tall with a successful transformation. The group forayed into real estate development with its maiden venture “Pratham Casa Serene”.The main aim of Pratham Constructions has been to provide the communities with superior projects and services.  Top Project by Pratham Constructions  Pratham Casa Serene, Jalahalli, Bangalore. A project that offers 140 units of ready-to-move-in apartments with 2 / 3 BHK apartments. The unit areas range f... more",3 BHK,Possession date: Dec'18,"2, 3 BHK",https://www.proptiger.com/bangalore/yeshwantpur/pratham-constructions-indraprastha-1283809,Yeshwantpur,Pratham Constructions, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Club House  5: Multipurpose Room  6: Sports Facility  7: Intercom  8: 24 X 7 Security  9: Jogging Track  10: Power Backup  11: Indoor Games  12: Car Parking  13: Lift Available  14: Rain Water Harvesting ,"{u'Apartment': u'2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'1,250\xa0-\xa01,655\xa0sq ft', u'Builder price': u'\u20b9\xa081.25 L\xa0-\xa0\u20b9\xa01.08 Cr'}","Yashwantpur is situated in Bengaluru which is developing into a real estate region. The Pratham Constructions Indraprastha group is offering premium apartments. The project is all set for moving in. The project delivers other amenities like a gym, a playground for children, an intercom service, and a 24 hours power back up services along with a facility of car parking for each apartment. The neighbourhood of the project is has all requirements like a play schools, ATMs, banks, parks, metro stations, office complexes, restaurants etc. The price of the apartments is based on the request value.","{u'Status': u'Under Construction', u'Total Area': u'1.7\xa0Acres', 'total_unit': u'253', u'Possession Date(s)': u""Dec'18"", u'Launch Date': u""Jun'15"", u'Availability': u'New'}",
Under Construction,"1,595 - 5,250 sq ft",Golden CNTC The Presidential Tower,368,5250 sq ft(4BHK+4T), (1   Total Projects ) (1   Ongoing Projects ) (  RERA ID ),₹ 2.15 Cr - ₹ 9.45 Cr,"{u'Walls': {u'Toilets:': u'Glazed Tiles Dado', u'Exterior:': u'Texture Paint', u'Kitchen:': u'Glazed Tiles Dado', u'Interior:': u'Emulsion Paint'}, u'Fittings': {u'Toilets:': u'CP Fittings', u'Kitchen:': u'Granite platform with stainless steel sink'}, u'Flooring': {u'Toilets:': u'Anti Skid Tiles', u'Master Bedroom:': u'Imported Marble', u'Other Bedroom:': u'Imported Marble', u'Balcony:': u'Anti Skid Tiles', u'Living/Dining:': u'Imported Marble', u'Kitchen:': u'Imported Marble'}, u'Doors': {u'Internal:': u'Teak Wood Frame and Shutter', u'Main:': u'Teak Wood Frame'}, u'Others': {u'Switches:': u'Modular Switches', u'Wiring:': u'Concealed copper wiring', u'Frame Structure:': u'RCC framed structure', u'Windows:': u'Aluminium Sliding'}}","Golden CNTC was formed in May 2017 as a joint venture between Golden Gate and CNTC. CNTC is a USD 15 Billion HongKong based real estate conglomerate with presence over 35 countries and 120 cities around the world. They have constructed some of the tallest towers and other prestigious building across the world. Some of their big projects are The Eye Of Orient Tower, The Palace of Kuwait, Federal Mansion of Russia, The Shanghai Tower, The Oriental Pearl TV Tower, Shanghai World Financial Center, B... more",4 BHK,Possession date: Jun'21,"3, 4 BHK",https://www.proptiger.com/bangalore/yeshwantpur/golden-cntc-the-presidential-tower-654151,Yeshwantpur,Golden CNTC, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Club House  5: Sports Facility  6: Intercom  7: 24 X 7 Security  8: Jogging Track  9: Power Backup  10: Landscaped Gardens  11: Indoor Games  12: Car Parking  13: Lift Available  14: Multipurpose Room  15: Rain Water Harvesting  16: Vaastu Compliant  17: Staff Quarter  18: Golf Course  19: Amphitheater  20: Basketball Court  21: Business Center  22: Skating Rink  23: Squash Court  24: Tennis Court ,"{u'Apartment': u'3, 4\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'1,595\xa0-\xa05,250\xa0sq ft', u'Builder price': u'\u20b9\xa02.15 Cr\xa0-\xa0\u20b9\xa09.45 Cr'}","The Presidential Tower is a landmark residential project offering 3 and 4 BHK apartments of the Golden CNTC The Presidential Tower is being set up at the Yeshwantpur which is situated in Bangalore. This project offers apartments of varying sizes and prices catering to the varying needs and preferences of clients. The neighbourhood has all the necessary destinations like school, hospital, metro station, petrol pump, hospital, bank, ATM, market, bus stand, office complex, park etc. The total number of apartments offered by this project is plenty in number. The other modern day facilities offered by this project are gym, swimming pool, intercom services, a club house, a playground area and much more.","{u'Status': u'Under Construction', u'Total Area': u'5\xa0Acres', 'total_unit': u'368', u'Possession Date(s)': u""Jun'21"", u'Launch Date': u""Nov'14"", u'Availability': u'New'}",RERA ID: PR/KN/170731/000565
Pre Launch,"1,100 - 2,000 sq ft",Deccan Habitat,132,2000 sq ft(4BHK+4T), (27   Years of Experience ) (21   Total Projects ) (1   Ongoing Projects ) (  RERA ID ),₹ 73.33 L - ₹ 1.40 Cr,"{u'Walls': {u'Toilets:': u'Ceramic Tiles Dado up to 7 Feet Height Above Platform', u'Exterior:': u'Weather proof paint', u'Kitchen:': u'Designer Tiles Dado up to 2 Feet Height Above Platform', u'Interior:': u'Emulsion Paint'}, u'Fittings': {u'Toilets:': u'Cera / Equivalent Sanitary Fittings'}, u'Flooring': {u'Toilets:': u'Anti Skid Ceramic Tiles', u'Master Bedroom:': u'Vitrified Tiles', u'Other Bedroom:': u'Vitrified tiles', u'Kitchen:': u'Vitrified Tiles', u'Living/Dining:': u'Vitrified tiles', u'Balcony:': u'Ceramic Tiles'}, u'Doors': {u'Internal:': u'Sal Wood Frame', u'Main:': u'Teak Wood Frame and Shutter'}, u'Others': {u'Switches:': u'ISI Mark Legrand Switches', u'Lobby:': u'Marble Flooring', u'Wiring:': u'Concealed copper wiring', u'Windows:': u'Aluminium Powder Coated Windows'}}","Deccan Group is a leading real estate company which is based in Bengaluru and is an ISO certified company. Deccan Group offers customer satisfaction and honesty in all dealings along with supreme professionalism and reliability. The Group is known for timely project delivery and value-for-money propositions. The portfolio of property by Deccan Group encompasses both residential apartments, residential townships and commercial projects. The Group possesses more than 25 years of experience in the ... more",4 BHK,Possession date: Dec'19,"2, 3, 4 BHK",https://www.proptiger.com/bangalore/yeshwantpur/deccan-habitat-1602184,Yeshwantpur,Deccan, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Club House  5: Landscaped Gardens  6: Indoor Games  7: Vaastu Compliant ,"{u'Apartment': u'2, 3, 4\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'1,100\xa0-\xa02,000\xa0sq ft', u'Builder price': u'\u20b9\xa073.33 L\xa0-\xa0\u20b9\xa01.40 Cr'}","Deccan has launched its premium housing project, Habitat, in Yeshwantpur, Bangalore. The project offers 2, 3, 4 BHK Apartment from 1100 sqft to 2000 sqft in Bangalore West. Among the many luxurious amenities that the project hosts are Organic Garden & Dry Stone Garden, Pool Table & Table Tennis, Gymnasium, Re Energize, Guest Area etc. Starting at @Rs 6,693 per sqft,Apartment are available for sale from Rs 73.33 lacs to Rs 1.40 crore. Deccan Habitat is Pre Launch project and possession in Dec 19.","{u'Possession Date(s)': u""Dec'19"", u'Status': u'Pre Launch', 'total_unit': u'132', u'Availability': u'New'}",
Under Construction,"636 - 1,785 sq ft",CoEvolve Northern Star,130,1785 sq ft(3BHK+3T), (13   Years of Experience ) (11   Total Projects ) (2   Ongoing Projects ) (  RERA ID ),₹ 27.98 L - ₹ 78.52 L,{},,3 BHK,Possession date: Dec'19,"1, 2, 3 BHK",https://www.proptiger.com/bangalore/jakkur/coevolve-estates-northern-star-1406759,Jakkur,CoEvolve Estates, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Club House  5: Multipurpose Room  6: Jogging Track  7: Car Parking ,"{u'Apartment': u'1, 2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'636\xa0-\xa01,785\xa0sq ft', u'Builder price': u'\u20b9\xa027.98 L\xa0-\xa0\u20b9\xa078.52 L'}",,"{u'Status': u'Under Construction', u'Total Area': u'1.65\xa0Acres', 'total_unit': u'130', u'Possession Date(s)': u""Dec'19"", u'Launch Date': u""Mar'17"", u'Availability': u'New'}",RERA ID: PR/KN/170729/000151
Under Construction,"4,150 - 5,850 sq ft",Legacy Cirocco,94,5850 sq ft(4BHK+4T + Servant Room), (21   Total Projects ) (9   Ongoing Projects ) (  RERA ID ),₹ 3.73 Cr - ₹ 5.26 Cr,"{u'Walls': {u'Toilets:': u'Ceramic Tiles Dado up to Door Height', u'Exterior:': u'Plastic Emulsion Paint', u'Kitchen:': u'Ceramic Tiles Dado', u'Interior:': u'Plastic Emulsion Paint'}, u'Fittings': {u'Toilets:': u'Jaguar/Parryware or Equivalent', u'Kitchen:': u'Double Bowl Stainless Steel Sink'}, u'Flooring': {u'Toilets:': u'Anti Skid Tiles', u'Living/Dining:': u'Marble Granite Tiles', u'Other Bedroom:': u'Marble Granite Tiles', u'Balcony:': u'Anti Skid Tiles', u'Master Bedroom:': u'Marble Granite Tiles', u'Kitchen:': u'Anti Skid Tiles'}, u'Doors': {u'Internal:': u'Decorative with Wooden Frame', u'Main:': u'Teak Wood Frame and Shutter'}, u'Others': {u'Switches:': u'Modular Switches', u'Wiring:': u'Concealed copper wiring', u'Frame Structure:': u'RCC Frame', u'Windows:': u'Aluminium Sliding'}}","An OverviewLegacy Group is a renowned real estate development company in Bangalore. The portfolio of the company includes residential projects and it focuses on constructing quality projects in and around the city.Unique Selling PointTh group is known for delivering world-class constructions and amenities at its projects. The team of experts focuses on ideation, design and execution of living spaces. Landmark ProjectsAltamira is a project by the group located at Sudhama Nagar in Bangalore. The p... more",4 BHK,Possession date: Dec'18,"3, 4 BHK",https://www.proptiger.com/bangalore/jakkur/legacy-global-project-cirocco-644518,Jakkur,Legacy Global Project, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Multipurpose Room  5: Rain Water Harvesting  6: Intercom  7: Landscaped Gardens  8: 24 X 7 Security  9: Power Backup  10: Jogging Track ,"{u'Apartment': u'3, 4\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'4,150\xa0-\xa05,850\xa0sq ft', u'Builder price': u'\u20b9\xa03.73 Cr\xa0-\xa0\u20b9\xa05.26 Cr'}","The Legacy Group presents Cirocco, a housing community in Jakkur, Bangalore. It has 3 and 4BHK apartments, the property is under construction and the units can be bought from the builder directly. Covering an expanse of 1.89 acer, the community has amenities on offer that include a gymnasium, swimming pool, multipurpose room, children’s play area and rainwater harvesting. Each unit has intercom services enabled within.The Legacy Group is one of the prominent real estate developers of Bangalore, having worked on seventeen projects. Eleven of their projects are under construction currently. Some of the areas where their projects are located include Yelahanka and Vasanth Nagar. Jakkur is a developing locality of North Bangalore and is near Nehru Nagar, Agrahara and Dasarahalli. The Manyata Tech Park is at a distance of 7.6 kilometres from here and Kirloskar Business Park is3.1 kilometres away. The City Railway Station is 35 kilometres away while railway station at Kodigehalli is at a distance of 4.5 kilometres from here.","{u'Status': u'Under Construction', u'Total Area': u'1.9\xa0Acres', 'total_unit': u'94', u'Possession Date(s)': u""Dec'18"", u'Launch Date': u""Apr'14"", u'Availability': u'New'}",RERA ID: PR/KN/170731/000900
