status,possession,name,price_per_sqft,unit_type,about_project,Project_specifications,link,pro_detail,about_builder,project_price,proj_plan,price_range,data,project_overview
Ready To Move,Completed : Dec 2014,Commanders Marvel,,3 BHK Apartment,"
                    Commandars Marvel, located in Yelahanka New Town Bangalore, is one of the residential developments of Jupiter Infrastructure and Manito Builders. It offers spacious 3 BHK apartments. The project is well equipped with all the amenities to facilitate the needs of the residents. ,
,
Legal Approvals: BBMP,
,
FEATURES,
Society office room,
Biometrics,
Visitors lounge,
Recreation room,  ,
,
            ,
            ,Total Project Area:,
            ,1.00 Acres,
        ,  
     
                ,
            ,Project Details:,
            ,1 Towers68 Units 5 Floors,
        ,  
                ,
            ,Configurations:,
            ,Apartment | 3 BHK            ,
        ,
            ,
, ,
     
                ","
                    ,
                    RCC framed structure with solid block masonry walls,
Teak wood main door, other doors good quality hard frames and flush shutters, FRP doors for all toilets,
Powder coated aluminum windows with MS grill and glass panes,
The living, dining, bedroom, kitchen and passage areas with vitrified tiles,
Kitchen with 40 mm thick granite counter with steel sink,
The counter wall will be dadoing up to 4 feet 0 inch with ceramic tiles,
Bathroom /toilets with ceramic tiles flooring and walls will be dadoing up to 7 feet 0 inch height with glazed / ceramic tiles and superior quality ewc and wash basins,
The internal walls will be painted with washable oil bound distemper,
The external walls will be painted with waterproof cement paint,
Steel and wood works with enamel paint,
24 hrs water supply from borewell water with suitable capacity underground and overhead tanks,
Concealed electrical conduits with modular switches and adequate lighting, heating, telephone,computer points will be provided,
AC point in all bed rooms    
                    ,
                ",https://www.99acres.com/commanders-marvel-yelahanka-new-town-bangalore-north-npxid-r9342?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price on Request,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ","{u'No. of Towers:': u'1 Towers', u'No. of Units:': u'68 Units', u'Total Project Area:': u'1.00 Acres', u'No. of Floors:': u'5 Floors'}"
Ready To Move,,Amba Residential Layout,,Residential  Land,"
                    Amba Residential Layout is a popular residential development in Doddaballapur, Bangalore. This project offers plots in various sizes. Apart from that it is situated close to many educational institutions and hospitals.,  ,
,
     
                    ,
            ,Configurations:,
            ,Land            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/amba-residential-layout-doddaballapur-bangalore-north-npxid-r240812?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,7 Hills Siddalingeshwara Green Garden,,Residential  Land,"
                    7 Hills Siddalingeshwara Green Garden is a residential development of 7 Hills Properties. It has a thoughtful design and is developed with all the modern day amenities as well as basic facilities. The project offers various odd dimensions plots.,
,
FEATURES,
Spot registration,
Sewage / Drainage,
Wide road,
Borewell with individual connection,
Transformer yard,
Water storage,
Drainage system,
Black top roads,
100% clear title,
Drinking water,
Security,  ,
,
     
                ,
            ,Project Details:,
            ,106 Units ,
        ,  
                ,
            ,Configurations:,
            ,Land            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/7-hills-siddalingeshwara-green-garden-yelahanka-bangalore-north-npxid-r258303?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{u'No. of Units:': u'106 Units'}
Ready To Move,,Raajamanikya Prides North Gate,,Residential  Land,"
                    Raajamanikya Prides North Gate is one of the residential developments by a joint venture of Raaja Manikya Builders and Pride Developers, located in Bangalore. The project offers odd dimensional plots at very competitive and affordable price. It is well planned and is built with all basic amenities.,
,
PROJECT DETAILS,
Legal Approval: BIAAPA,
,
FEATURES,
Overhead tank,
24/7 security services,
Underground electricity,
Standard drainage system,
Planned kerbs and walkway,
Plants planted all alone the road sides,
30 and 40 feet Asphalted black top roads,  ,
,
     
                ,
            ,Project Details:,
            ,73 Units ,
        ,  
                ,
            ,Configurations:,
            ,Land            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/raajamanikya-prides-north-gate-doddaballapur-bangalore-north-npxid-r266563?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{u'No. of Units:': u'73 Units'}
Under Construction,Possession : Dec 2018,KCN Amulya Chandra,,"2,3 BHK Apartment","
                    KCN Amulya Chandra is one of the popular residential projects that is located in Judicial Layout, Bangalore. Developed by KCN Mohan Builders, this project offers thoughtfully 2BHK and 3BHK constructed apartments with basic amenities for the comfort of residents. Adding to this, it is situated close to the market, hospital and various educational institutions.,  ,
,
     
                    ,
            ,Configurations:,
            ,Apartment | 2, 3 BHK            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/kcn-amulya-chandra-judicial-layout-bangalore-north-npxid-r225575?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,VSPL Meadows,,Residential  Land,"
                    VSPL Meadows, located in Bangalore, is one of the residential developments of Vikram Structures.It offers spacious plots. The project is well equipped with all the amenities to facilitate the needs of the residents. ,
,
Project Details,
Total Area: 3 Acres,
Number of units: 45,
Approvals: BDA,
Funding: Loan available from any nationalized bank,
,
Features,
24 hours security with gated complex,
Entrance arch with security,
Black top roads,
Walking path,
60 feet approach roads,
20% appreciation year on year in Yelahanka,
Underground electrical, water and sanitation lines,  ,
,
            ,
            ,Total Project Area:,
            ,3.00 Acres,
        ,  
     
                ,
            ,Project Details:,
            ,45 Units ,
        ,  
                ,
            ,Configurations:,
            ,Land            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/vspl-meadows-yelahanka-bangalore-north-npxid-r231381?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ","{u'No. of Units:': u'45 Units', u'Total Project Area:': u'3.00 Acres'}"
Under Construction,Possession : Dec 2019,BSCPL Bollineni Chalet,,"2,3 BHK Apartment","
                    BSCPL Bollineni Chalet is one of the residential development of BSCPL Infrastructure. It offers spacious and skillfully designed 2BHK and 3BHK apartments. The project is well equipped with all modern amenities to facilitate the needs of the residents.,  ,
,
            ,
            ,Total Project Area:,
            ,2.00 Acres,
        ,  
     
                ,
            ,Project Details:,
            ,1 Towers140 Units 8 Floors,
        ,  
                ,
            ,Configurations:,
            ,Apartment | 2, 3 BHK            ,
        ,
            ,
, ,
     
                ","
                    ,
                    STRUCTURE Foundation,
RCC framed structural System, Seismic zone II Compliant ,
Internal Walls and External Walls : Solid concrete blocks ,
Roof slab : Reinforced Cement Concrete slab ,
Plastering : Internal - smoothly plastered External - with sponge finish ,
,
FLOORING FINISHES ,
Living, Dining, Foyer , Passage : Vitrified tiles 24"" x 24"" with skirting of 4"" ,
Bed rooms / Kitchen : Vitrified tiles 24"" x 24"" with skirting of 4"",
Toilets : Ceramic tiles Balconies/ Utility : Ceramic tiles Entrance Lobbies : Vitrified flooring ,
,
DADOING ,
Toilets : Ceramic tiles up to 7' height ,
Kitchen and Utility : Ceramic tiles for 2' above counter ,
,
JOINERY DOORS ,
Entrance Door/ Main Door :Engineered wood frame with one side teak veneered Flush Shutters ,
Internal doors :Engineered wood frame with enamel paint Flush Shutters ,
Balcony :UPVC/ Aluminum sliding doors with Plain Glass ,
Toilet Doors : Engineered Wood frame with enamel paint Flush Shutters ,
,
WINDOWS AND VENTILATORS ,
All windows and ventilators: UPVC / Aluminum sliding windows with Plain glass and mosquito mesh,
,
RAILINGS,
Balcony : MS railing with Matt finish enamel paint ,
Staircase : M.S Railing with Matt finish enamel paint ,
,
PAINTING,
Interior walls and ceilings : Putty and Oil bound distemper paint ,
Exterior walls : Weather proof paint finish ,
Kitchen /Utility : Plastic Emulsion Paint ,
,
KITCHEN,
2' wide Granite counter with bull nosing, SS sink with single bowl supported with angles ,
,
ELECTRICAL WORKS ,
Modular switches and socket (Anchor Roma or equivalent) ,
Telephone and TV point in Living room ,
Provision for water purifier, Microwave and Refrigerator ,
Fire resistant electrical wires of Anchor / Polycab / KRI or equivalent ,
Earth Leakage Circuit Breaker (ELCB) ,
Single phase meter with Power supply provision 4KW for 3 BHK, 3KW for 2 BHK 0.5KW Backup power from DG for all types of units ,
,
SANITARY AND BATHROOM FIXTURES ,
Imported White colored floor mounted sanitary ware in all toilets ,
Wall hung wash-basin in all toilets Essco or equivalent brand CP fixtures in toilets for faucets ,
,
ELEVATORS ,
Suitable capacity Automatic passenger elevators    
                    ,
                ",https://www.99acres.com/bscpl-bollineni-chalet-doddaballapur-bangalore-north-npxid-r300215?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ","{u'No. of Towers:': u'1 Towers', u'No. of Units:': u'140 Units', u'Total Project Area:': u'2.00 Acres', u'No. of Floors:': u'8 Floors'}"
Ready To Move,,Royal Palm Enclave 2,,Residential  Land,"
                    Royal Palm Enclave 2 is one of the residential developments of Sign Post Properties. It offers residential lands. The project is well equipped with all the basic amenities to facilitate the needs of the residents. ,
,
FEATURES,
Compounded wall throughout the layout,
Wide asphalted road,
Electricity and water Connection,
Illuminating street light,
Overhead water tank,  ,
,
            ,
            ,Total Project Area:,
            ,1.00 Acres,
        ,  
     
                ,
            ,Project Details:,
            ,20 Units ,
        ,  
                ,
            ,Configurations:,
            ,Land            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/royal-palm-enclave-2-yelahanka-bangalore-north-npxid-r279973?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,"With an experience of over 13 years, Sign Post Properties has been developing residential layouts and townships for the people of Bangalore. The group is led by Dr. Shankar Lal Sharma who has a vast experience in the domain. It has a loyal base of satisfied customers and is moving ahead with the mission of complete customer satisfaction, quality construction and providing value for money invested by the buyers. Royal Palm Garden, Royal Palm Aeroville, Royal Palm Enclave 2 and Royal Palm Sainik Vihar are some of its plotted developments in,With an experience of over 13 years, Sign Post Properties has been developing residential layouts and townships for the people of Bangalore. The group is led by Dr. Shankar Lal Sharma who has a vast experience in the domain. It has a loyal base of satisfied customers and is moving ahead with the mission of complete customer satisfaction, quality construction and providing value for money invested by the buyers. Royal Palm Garden, Royal Palm Aeroville, Royal Palm Enclave 2 and Royal Palm Sainik Vihar are some of its plotted developments in Bangalore.",{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ","{u'No. of Units:': u'20 Units', u'Total Project Area:': u'1.00 Acres'}"
Ready To Move,,Royal Palm Aeroville,,Residential  Land,"
                    Royal Palm Aeroville is one of the residential developments of Sign Post Properties, located in Bangalore. It offers various odd dimensional residential lands. The project is well equipped with all the basic amenities to facilitate the needs of the residents. ,
,
FEATURES,
Wide asphalted road,
Overhead water tank,
DC converted property,
Electricity and water Connection,
Compounded wall throughout the layout,  ,
,
            ,
            ,Total Project Area:,
            ,3.00 Acres,
        ,  
     
                ,
            ,Project Details:,
            ,68 Units ,
        ,  
                ,
            ,Configurations:,
            ,Land            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/royal-palm-aeroville-yelahanka-bangalore-north-npxid-r280003?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,"With an experience of over 13 years, Sign Post Properties has been developing residential layouts and townships for the people of Bangalore. The group is led by Dr. Shankar Lal Sharma who has a vast experience in the domain. It has a loyal base of satisfied customers and is moving ahead with the mission of complete customer satisfaction, quality construction and providing value for money invested by the buyers. Royal Palm Garden, Royal Palm Aeroville, Royal Palm Enclave 2 and Royal Palm Sainik Vihar are some of its plotted developments in,With an experience of over 13 years, Sign Post Properties has been developing residential layouts and townships for the people of Bangalore. The group is led by Dr. Shankar Lal Sharma who has a vast experience in the domain. It has a loyal base of satisfied customers and is moving ahead with the mission of complete customer satisfaction, quality construction and providing value for money invested by the buyers. Royal Palm Garden, Royal Palm Aeroville, Royal Palm Enclave 2 and Royal Palm Sainik Vihar are some of its plotted developments in Bangalore.",{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ","{u'No. of Units:': u'68 Units', u'Total Project Area:': u'3.00 Acres'}"
Ready To Move,,Vaishnavi Group Elements Villas,,"3,4 BHK Apartment","
                    Vaishnavi Group has launched new residential project Elements Villas at Doddaballapur Road NH 7 Highway in Bangalore. Vaishnavi Elements Villas offers 3 and 4 bedroom Villas with excellent amenities Swimming pool, Club house, Kids Play Area and lots more to enjoy.,  ,
,
     
                    ,
            ,Configurations:,
            ,Apartment | 3, 4 BHK            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/vaishnavi-group-elements-villas-yelahanka-bangalore-north-npxid-r544?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,"Vaishnavi Group Builders is a team of professional architects, engineers, developers. They have created beautiful homes in parts of Jigani, Tumkur and Mysore. The group offers mid-rise developments that range from 1BHK, 2BHK and 3BHK flats in the city. Vaishnavi aims to become one of the most trusted names in Bangalore. It has been developing flats and villas from the past three decades. The group has been dedicatedly following the footsteps of their founder and creating brilliant architecture, elegant designs and presenting homes with the,Vaishnavi Group Builders is a team of professional architects, engineers, developers. They have created beautiful homes in parts of Jigani, Tumkur and Mysore. The group offers mid-rise developments that range from 1BHK, 2BHK and 3BHK flats in the city. Vaishnavi aims to become one of the most trusted names in Bangalore. It has been developing flats and villas from the past three decades. The group has been dedicatedly following the footsteps of their founder and creating brilliant architecture, elegant designs and presenting homes with the urban lifestyle. Some of the notable properties delivered so far are Vaishnavi Rathnam, Vaishnavi Mandara, Vaishnavi Paradise.",{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,Highlife Preet Vihar,,Residential  Land,"
                    Highlife Preet Vihar is one of the residential development of Highlife Properties, located in Bangalore. It offers residential villa plots and proposed villas. The project is well equipped with all the basic amenities to facilitate the needs of the residents.,
,
Project Details,
Total Area: 5 Acres,
Number of Units: 150,
Legal Approvals: BIAAPA approved,
,
Features	,
Gated community with four approach roads from state highway,
Civic amenities,
Overhead tank with individual water connection to each plot,
30 and 40 feet black top roads,
Street lights,
Storm water drains,
Electricity,
Avenue plantation,
Gated community with compound wall and 24 hours security,  ,
,
            ,
            ,Total Project Area:,
            ,5.00 Acres,
        ,  
     
                ,
            ,Project Details:,
            ,150 Units ,
        ,  
                ,
            ,Configurations:,
            ,Land            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/highlife-preet-vihar-doddaballapur-bangalore-north-npxid-r222629?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ","{u'No. of Units:': u'150 Units', u'Total Project Area:': u'5.00 Acres'}"
Under Construction,Possession : Jun 2018,Master Classic Residency,,"2,3 BHK Apartment","
                    Master Classic Residency , located in Bangalore, is one of the residential developments of Master Ventures. It offers 2BHK and 3BHK apartments. The project is well equipped with all the amenities to facilitate the needs of the residents.,
,
FEATURES,
Water Feature,
Pedestrian Pathway,
Quiet Corner,
,
Number Of Blocks: 3,  ,
,
            ,
            ,Total Project Area:,
            ,1.80 Acres,
        ,  
     
                ,
            ,Project Details:,
            ,126 Units 5 Floors,
        ,  
                ,
            ,Configurations:,
            ,Apartment | 2, 3 BHK            ,
        ,
            ,
, ,
     
                ","
                    ,
                    STRUCTURE,
Seismic resistance RCC framed structure,
Cement concrete blocks for all walls,
,
LOBBY AND STAIRCASE,
Combination of vitrified ties/marble/ for lobbies and staircase,
,
FOYER, LIVING AND DINING,
Premium qualify vitrified file flooring,
,
ALL BEDROOMS,
Premium qualify vitrified file flooring,
,
KITCHEN,
Vitrified tile flooring,
Granite counter with 7-0' good quality tile dodo,
Single bowl,
Single drain SS sink with single lever tap,
Ceramic tile flooring and the dodo in the utility,
,
TOILETS,
Designer/rustic premium quality tiles for floors and walls,
Granite counters with ceramic wash basin,
Wall mounted EWC's and chrome plated fittings with jaguar flush valves,
Jaquar/kholer or equivalent brand fixtures for all toilets,
Provisions for geysers in all toilets,
Grid false ceiling in all toilets,
Sanitary-ware fittings of hindware/parryware/cera,
,
DOORS,
Internal doors: Main doors ore teakwood frame with teakwood shutters,
Other internal doors: Good quality sal wood or equivalent frames with elegant commercial shutters for the internal doors,
,
WINDOWS AND VENTILATORS,
3 track UPVC/Anodized aluminium frame with clear glass and mosquito mesh shutters,
MS designer grills with enamel painted,
,
PAINTING,
Exterior emulsion point on external walls,
Emulsion paint for internal walls and ceilings,
Melamaine polish for main door and internal doors,
,
ELECTRICALS,
Concealed electrical wiring with PVC isolated copper wires anchor or equivalent make with modular switches,
Sufficient power outlets and tight points in all rooms,
TV and telephone points in living and bedrooms,
Provision to install split AC in master bedrooms,
ELCB's and individual meters for all apartments    
                    ,
                ",https://www.99acres.com/master-classic-residency-yelahanka-bangalore-north-npxid-r247923?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,"{1: u'2 BHK Apartment, 983 sqft', 2: u'2 BHK Apartment, 1012 sqft', 3: u'2 BHK Apartment, 1018 sqft', 4: u'2 BHK Apartment, 1020 sqft', 5: u'2 BHK Apartment, 1021 sqft', 6: u'2 BHK Apartment, 1022 sqft', 7: u'2 BHK Apartment, 1026 sqft', 8: u'2 BHK Apartment, 1032 sqft', 9: u'2 BHK Apartment, 1033 sqft', 10: u'2 BHK Apartment, 1035 sqft', 11: u'2 BHK Apartment, 1083 sqft', 12: u'2 BHK Apartment, 1097 sqft', 13: u'2 BHK Apartment, 1109 sqft', 14: u'2 BHK Apartment, 1123 sqft', 15: u'2 BHK Apartment, 1130 sqft', 16: u'2 BHK Apartment, 1132 sqft', 17: u'2 BHK Apartment, 1133 sqft', 18: u'2 BHK Apartment, 1147 sqft', 19: u'2 BHK Apartment, 1218 sqft', 20: u'2 BHK Apartment, 1238 sqft', 21: u'2 BHK Apartment, 1242 sqft', 22: u'2 BHK Apartment, 1277 sqft', 23: u'2 BHK Apartment, 1291 sqft', 24: u'2 BHK Apartment, 1292 sqft', 25: u'2 BHK Apartment, 1295 sqft', 26: u'2 BHK Apartment, 1312 sqft', 27: u'2 BHK Apartment, 1352 sqft', 28: u'3 BHK Apartment, 1443 sqft', 29: u'3 BHK Apartment, 1506 sqft', 30: u'3 BHK Apartment, 1562 sqft', 31: u'3 BHK Apartment, 1647 sqft', 32: u'3 BHK Apartment, 1700 sqft'}",,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ","{u'No. of Units:': u'126 Units', u'Total Project Area:': u'1.80 Acres', u'No. of Floors:': u'5 Floors'}"
Ready To Move,Completed : Dec 2012,Emmay Srinidhis Netaji Nagar,,Residential  Land,"
                    Srinidhi's Netaji Nagar is a refreshing residential layout located on Yelahanka-Doddabalapur road, Bangalore. A sense of complete privacy and sheer calmness surrounds the layout and its surroundings. For, Srinidhi's Netaji Nagar comprises only 47 plots on sprawling acres of land, tucked away in a serene locale.,
 ,
 A host of top-class amenities and an array of finest features offer a privileged lifestyle for a lucky few residents, who choose to live at Netaji Nagar. The layout offers picture-perfect setting for you to build your home, as per your desires! Of course, you can even consider Netaji Nagar as an investment idea. You are going to reap rich dividends as its value appreciates in future.,  ,
,
     
                    ,
            ,Configurations:,
            ,Land            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/emmay-srinidhis-netaji-nagar-yelahanka-bangalore-north-npxid-r5610?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
New Launch,,Dhammanagi Jasmine,,"2,3 BHK Apartment","
                    Nestled in the heart of the city Dhammanagi Jasmine is a development by Dhammanagi Developers in Yelahanka that offers commercial spaces along with 2BHK and 3BHK residential apartments. With amenities like jogging track, play area for children, gymnasium, swimming pool and indoor games, the project is designed to enhance the lifestyle of buyers. The project is very well-connected with all major localities through arterial roads. These apartments are well constructed and approved by local civic authorities.,
,
About Locality,
,
One of the zones of BBMP and part of Greater Bangalore, Yelanhanka is an emerging suburb that witnesses residential property demand from working professionals. The locality is has an excellent connectivity through road as well as rail. It is connected to downtown Bangalore through a six lane highway that also connects it to the airport. Yelahanka also homes a number of schools and colleges and other civic amenities to meet the needs of the residents.,
 ,
About City,
,
A megacity with third largest population and fifth most populous urban agglomeration in India, Bangalore is home to a lot of working professionals. Hence, the city receives demands keeping the real estate market active always. The property market is also supported with factors like weather and strong infrastructure.,  ,
,
     
                ,
            ,Project Details:,
            ,4 Towers 14 Floors,
        ,  
                ,
            ,Configurations:,
            ,Apartment | 2, 3 BHK            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/dhammanagi-jasmine-yelahanka-bangalore-north-npxid-r272955?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,"Foundation of Dhammanagi Developers was laid on 1964 with a clear vision and insistence on high-quality construction standards. Headquartered in Bangalore, it has made set benchmark in world class properties that have made global presence also in countries like Dubai and Abu Dhabi. To be among the best construction and infrastructure companies, the developer has tried to provide homes to the larger segment of the society and a good corporate governance. Along with that, Dhammanagi Developers are also focused on creating revenue for the,Foundation of Dhammanagi Developers was laid on 1964 with a clear vision and insistence on high-quality construction standards. Headquartered in Bangalore, it has made set benchmark in world class properties that have made global presence also in countries like Dubai and Abu Dhabi. To be among the best construction and infrastructure companies, the developer has tried to provide homes to the larger segment of the society and a good corporate governance. Along with that, Dhammanagi Developers are also focused on creating revenue for the stakeholders. With a team of proficient and skilled professionals, the group is delivering the outstanding projects which are equipped with top-notch amenities. Few delivered projects by the group are Garden Terrace, King?s village, Zeus, Florence and more.",{},,Price on Request,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ","{u'No. of Towers:': u'4 Towers', u'No. of Floors:': u'14 Floors'}"
Ready To Move,,Enrich Smart City,,Residential  Land,"
                    Enrich Smart City is one of the residential development of Enrich Properties, located in Bangalore. It offers residential land and proposed villas. The project is well equipped with all modern amenities and 24 x 7 security service to facilitate the needs of the residents.,
,
Project Details,
Number of Units: 75,
,
Features,
Clear title,
Loan Available,
Ready for registration,
Heritage inspired heritage plaza,
Tree Plantation,  ,
,
     
                ,
            ,Project Details:,
            ,75 Units ,
        ,  
                ,
            ,Configurations:,
            ,Land            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/enrich-smart-city-doddaballapur-bangalore-north-npxid-r250019?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,"Over an experience of 20 years, Enrich Properties has delivered outstanding residential as well as commercial projects. The projects are well-furnished with finest amenities, highest specifications, and luxurious landscapes, along with that the group makes sure to maintain high safety standards during construction. Headquartered in Bangalore, the group has an empowered and highly-productive team of civil engineers, site engineers, business developers and architectures, the group has successfully completed plotted development covering around 15,Over an experience of 20 years, Enrich Properties has delivered outstanding residential as well as commercial projects. The projects are well-furnished with finest amenities, highest specifications, and luxurious landscapes, along with that the group makes sure to maintain high safety standards during construction. Headquartered in Bangalore, the group has an empowered and highly-productive team of civil engineers, site engineers, business developers and architectures, the group has successfully completed plotted development covering around 15 million square feet of plotted region. The projects are live example of state-to-art architecture and all general civic facilities such as colleges, schools, medical facilities are available in close proximity.  The group has successfully delivered several projects such as Enrich Smart City, Enrich Meadows, Enrich Aspire and Enrich Shasta Gardenia.",{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{u'No. of Units:': u'75 Units'}
Ready To Move,Completed : Jan 2013,Quantum Skanda Gateway,,Residential  Land,"
                    Skanda Gateway is a residential layout located in Doddaballapur town. Owing to its location, Skanda Gateway is in close proximity to a number of housing, villas and apartment projects. It is connected to Doddaballapur town along SH9. The project is a fully equipped layout with a great potential for appreciation.It is a fully equipped layout with all amenities.,  ,
,
     
                    ,
            ,Configurations:,
            ,Land            ,
        ,
            ,
, ,
     
                ","
                    ,
                    > Good marketable title and verified and attested by experienced legal team.,
> Ownership of khatas obtained from town municipal corporation.    
                    ,
                ",https://www.99acres.com/quantum-skanda-gateway-doddaballapur-bangalore-north-npxid-r7034?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
