project_name,project_by,location,status,project_desciption,possesion_date,area,unit_type,Super_builduparea,Builder_price,Apartment,total_unit,rera_id
Sobha Avenue,Sobha Limited,Kannamangala,Under Construction,"Serving a blend of quality and comfort to its customers for over 20 years, Sobha Developers offers you beautiful 3BHK apartments with its new residential project Sobha Avenue. Located in Kannamangala, Located in one of the most popular and lively areas of Bangalore, Sobha Avenue is in close proximity to many renowned schools and colleges. Situated in Bangalores IT hub, Sobha Avenue offers world-class amenities like dedicated sitting area for elderly people, reading lounge, foosball with an easy access to several health and medical facilities.",Possession date: Dec'18,1890 sq ft(3BHK+3T),3 BHK,"1,500 - 1,890 sq ft",₹ 88.95 L - ₹ 1.12 Cr,3 BHK,175,RERA ID: PR/KN/170730/000231
Hiranandani Glen Classic,House Of Hiranandani,Kodigehalli,Under Construction,,Possession date: Dec'18,1820 sq ft(3BHK+3T),3 BHK,"655 - 1,820 sq ft",₹ 40.28 L - ₹ 1.23 Cr,"1, 2, 3 BHK",288,
SBR Horizon,SBR,Kannamangala,Under Construction,"Launched by SBR, Horizon, is a premium housing project located at Kannamangala in Bangalore. Offering 1, 2, 3, 4 BHK Apartment in Old Madras Road are available from 747 sqft to 1792 sqft. This project hosts amenities like Swimming Pool, Gated Community, Landscaped Gardens, Power Backup, Jogging Track etc. Available at attractive price points starting at @Rs 4,794 per sqft, the Apartment are available for sale from Rs 35.81 lacs to Rs 85.91 lacs. The project is Under Construction project and possession in Dec 18.",Possession date: Jun'19,1792 sq ft(4BHK+3T),4 BHK,"747 - 1,792 sq ft",₹ 35.81 L - ₹ 85.91 L,"1, 2, 3, 4 BHK",180,RERA ID: PR/KN/170731/000625
VBHC Palmhaven II,VBHC,Kumbalgodu,Under Construction,"VBHC Palmhaven, located in Kumbalgodu, Bangalore, offers apartments. The amenities include swimming pool, childrens play area, multipurpose room, 24x7 security, jogging track, power backup, indoor games, car parking, club house, and many others. This town in Bangalore has some famous attractions like Anjaneya Temple, The Veerashaivas and Savan Durbar Ashram of Radhaswamy Satsang and Nithyananda Dyana Ashram. Kengeri offers good connectivity to major areas in the city and is only 1.5 kilometres away from Bangalore. The Mysore Road is crucial in connecting this area to other parts of Bangalore. Though an outskirt, Kengeri boasts of a host of reputed schools and colleges like JSS Academy of Technical Education, Government Model Primary School, Radha Krishna School, SJR Primary School, BGS Engineering College, Seshadripuram Pre-University College, Gurukula Vidyapeetha, BGS International Residential School etc.",Possession date: Nov'18,902 sq ft(2BHK+2T),2 BHK,416 - 902 sq ft,₹ 14.92 L - ₹ 32.35 L,"1, 2 BHK",480,RERA ID: PR/KN/170731/000192
Shriram Chirping Woods,Shriram Properties,Harlur,Under Construction,"Chirping Woods is a new and upcoming residential project by Shriram Properties in Harlur, Bangalore. All modern amenities viz., Gymnasium , Swimming Pool , Children's play area, Club House , 24 X 7 Security, Jogging Track , Power Backup, Indoor Games, Rain Water Harvesting, Intercom, Landscaped Gardens, Maintenance Staff , Golf Course, Multipurpose Room, Exclusive Avian Park, Well Equipped Mini Theatre With Surround Sound System, Convenience Store, Toddlers Pool, Open Amphitheatre and CCTV Surveillance are available in this building. The possession of apartments will begin in May, 2017. Established in 1995, Shriram properties are a Bangalore based reputed real estate development firm having three decades of construction experience. Harlur is one of the sub-localities in the HSR Layout of south Bangalore. It is a well-developed locale and has been attracting several major builders and investors.",Possession date: Mar'19,1875 sq ft(3BHK+3T),3 BHK,"555 - 1,875 sq ft",₹ 31.75 L - ₹ 1.07 Cr,"1, 2, 3 BHK",536,RERA ID: PR/KN/170804/001085
Artha Emprasa,Artha,Hoskote,Under Construction,,Possession date: Dec'18,741 sq ft(2BHK+2T),2 BHK,327 - 741 sq ft,₹ 7.85 L - ₹ 16.61 L,"1, 2 BHK",1700,
Neeladri Waterprest,Neeladri,Hoskote,Under Construction,,Possession date: Dec'18,1580 sq ft(3BHK+3T),3 BHK,"1,150 - 1,580 sq ft",₹ 43.70 L - ₹ 60.04 L,"2, 3 BHK",80,
Sowparnika Purple Rose,Sowparnika Projects,Hoskote,Under Construction,,Possession date: Dec'18,1365 sq ft(3BHK+3T),3 BHK,"929 - 1,365 sq ft",₹ 25.08 L - ₹ 36.85 L,"2, 3 BHK",369,RERA ID: PR/KN/170805/001131
Pride Enchanta,Pride Housing,Vijay Nagar,Under Construction,,Possession date: Jan'19,1910 sq ft(3BHK+3T),3 BHK,"1,175 - 1,910 sq ft",Price on request,"2, 3 BHK",215,
Estella Maple Square,Estella,Harlur,Under Construction,"Estella has launced Maple Square, a premium residential project located at Harlur, Bengaluru. It offers luxurious 2 and 3 BHK apartments, along with modern amenities such as a gymnasium, a swimming pool, a childrens play area and a club house. It is available only from the developer. Situated towards the south-east end of Bengaluru is a fast developing part of the city which enjoys excellent connectivity to the key IT hubs of Koramangala, Whitefield, Electronics City and the Outer Ring Road. The International Airport is at a distance of 50 kilometres from here. It also boasts a well-developed social infrastructure.",Possession date: Apr'19,1556 sq ft(3BHK+2T),3 BHK,"1,027 - 1,556 sq ft",₹ 37.49 L - ₹ 56.79 L,"2, 3 BHK",176,
Pride Enchanta Phase 2,Pride Housing,Vijay Nagar,Under Construction,"Pride has launched its premium housing project, Enchanta Phase 2, in Vijay Nagar, Bangalore. The project offers 2, 3 BHK Apartment from 1175 sqft to 1910 sqft in Bangalore West. Among the many luxurious amenities that the project hosts are Entry Ramp, Jogging Track, Aromatic Garden, Gas Pipe Line System, Main Entrance Gate etc. Starting at @Rs 6,000 per sqft,Apartment are available for sale from Rs 70.50 lacs to Rs 1.15 crore. Pride Enchanta Phase 2 is Under Construction project and possession in Dec 19.",Possession date: Dec'20,1910 sq ft(3BHK+3T),3 BHK,"1,175 - 1,910 sq ft",₹ 70.50 L - ₹ 1.15 Cr,"2, 3 BHK",215,RERA ID: PR/KN/170731/000410
Frontier Heights,Frontier Shelters,Harlur,Under Construction,"Frontier Shelters Heights Bangalore offers multiple premium amenities to residents including a gymnasium, playing zone for children, swimming pool, power backup facilities, indoor game facilities, rainwater harvesting systems, club house, car parking facilities, intercom facilities, maintenance services, 24 hour security services and landscaped gardens. Added amenities include an amphitheatre, basketball facilities, lift, sewage treatment plant, badminton and tennis courts, community hall, recreational facilities and health facilities. Located at Harlur, the project lies in close proximity to several areas like Bellandur, HSR Layout, Kasavanahalli, KPC Layout and Singasandra. The area is home to several companies including Accenture, Honeywell, Infosys, Oracle and Satyam among others.",Possession date: Jun'19,1965 sq ft(3BHK+3T   Study Room),3 BHK,"1,007 - 1,965 sq ft",₹ 43.80 L - ₹ 85.48 L,"2, 3 BHK",222,RERA ID: PR/KN/170810/001250
Shriram Chirping Woods Villament,Shriram Properties,Harlur,Under Construction,,Possession date: Mar'19,3600 sq ft(5BHK+5T),5 BHK,"2,650 - 3,600 sq ft",₹ 1.93 Cr - ₹ 2.62 Cr,"4, 5 BHK",136,
BSCPL Nestor,BSCPL Infrastructure Ltd,Doddaballapur,Under Construction,"BSCPL Nestor is a housing community located in Yelahanka, Bangalore. Presently under construction, it has 140 units up for sale which are available through the builder. The flats conform to the 2 and 3 BHK configuration, Home owners shall be provided with numerous amenities within the boundaries of the community such as community hall, gymnasium, indoor games, intercom services, landscaped gardens, children’s play area, club house and round the clock security. BSPCL has worked on eight projects so far, five of which are underway. Whitefield Hope Farm Junction and Kogilu are two areas where their projects are located.Yelahanka is 14 kilometres towards the north of Bangalore and has gained prominence for its proximity to the Bangalore International Airport. The NH 7 is located near to it which connects it to different parts of the city. The area is also served by the KSRTC and BMTC buses. The Yelahanka train station is 15 kilometres towards the north of the Bangalore City train station. Several good schools for instance Canadian International School, hospitals such as Prasad Hospital, and shopping complexes including New Town Shopping Complex are located in the vicinity.",Possession date: Dec'19,1140 sq ft(3BHK+2T),3 BHK,"935 - 1,140 sq ft",₹ 24.31 L - ₹ 29.64 L,"2, 3 BHK",140,RERA ID: PR/KN/170731/000612
Gopalan Olympia,Gopalan,Kumbalgodu,Under Construction,,Possession date: Dec'18,1495 sq ft(3BHK+3T),3 BHK,"905 - 1,495 sq ft",₹ 31.68 L - ₹ 52.33 L,"2, 3 BHK",322,RERA ID: PR/KN/170811/000986
Provident Rays of Dawn,Provident Housing,Kumbalgodu,Under Construction,"Provident Ray of Dawn is a 60-acre residential community, developed by Provident Housing, located at Kumbalgodu in Bengaluru. The property which is nestled along the Mysore Road, offers 1344 units of 2 and 3 BHK apartments ranging in sizes between 883 sq ft to 1,082 sq ft. The apartments are ready for possession and are accompanied with amenities like basketball court, yoga pavilion, 24X7 security system and cafeteria. Quality social infrastructure encompassing educational institutions, hospitals and banks are present in the vicinity. Kumbalgodu, where the property is located, is well connected to railway station and the HAL international airport.",Possession date: Nov'18,1082 sq ft(3BHK+2T),3 BHK,"883 - 1,082 sq ft",₹ 40.50 L - ₹ 49.50 L,"2, 3 BHK",1344,
Adarsh Premia,Adarsh Developers,Banashankari,Under Construction,,Possession date: Dec'18,3720 sq ft(4BHK+4T   Servant Room),4 BHK,"2,050 - 3,720 sq ft",₹ 2.25 Cr - ₹ 4.05 Cr,"3, 4 BHK",200,
Opera Spring Leaf,Opera Homes,Bommanahalli,Under Construction,"Opera Homes Spring Leaf has an availability of premium apartments in Bommanahalli region which is situated in Bengaluru. This project has built up premium apartments for possession. The apartments are all set for moving in. The area is very much accessible by all major parts of the region. The necessities like banks, ATMs, bus stations, play schools, restaurants, railway stations, hospitals petrol pumps etc are all available in the neighbourhood. The neighbourhood area of this project is very much surrounded by the lush greenery and the project offers facilities like a, intercom, a playground for children, a swimming pool, power back up and much more. The price of the apartments is also based on the request value.",Possession date: Dec'18,1495 sq ft(3BHK+2T),3 BHK,"780 - 1,495 sq ft",₹ 31.19 L - ₹ 59.79 L,"1, 2, 3 BHK",35,RERA ID: PR/KN/170823/001474
TATA The Cascades,TATA Housing Development,Banashankari,Under Construction,,Possession date: Dec'20,4425 sq ft(4BHK+5T   Servant Room),4 BHK,"3,580 - 4,425 sq ft",₹ 4.30 Cr - ₹ 5.31 Cr,"3, 4 BHK",24,
Subha 9 Sky Vue,Subha Builders,Anekal City,Under Construction,"The Subha Builders 9 Sky Vue is offering prosperous complex with the availability of premium apartments. The project is all set for moving in purpose in Anekal City region which is situated in Bengaluru. The necessities like bank, ATM, hospital, school, restaurant, bus station, train station, petrol pump are found in the neighbourhood and the complex offers other facilities like intercom facilities, a playground which is completely safe for the children, a security service of 24 hours, the project also provides a power system which remains on for about 24 hours. The apartments are available from builder as well as from resale procedure.",Possession date: Mar'19,1225 sq ft(3BHK+3T),3 BHK,"520 - 1,225 sq ft",₹ 13.99 L - ₹ 32.95 L,"1, 2, 3 BHK",115,RERA ID: PR/KN/170801/000908
Salarpuria Anugraha,Salarpuria Sattva Group,Nagarbhavi,Under Construction,"Salarpuria Anugraha Company is developing apartments in the Nagarbhavi region of Bangalore. They have availability luxurious apartments. This project has all the required amenities like security surveillance for 24 hours, beautiful landscaped garden, individual parking area for each apartment area, gym, swimming pool, rainwater harvesting, a playground for the sole benefit of the children and also for their entertainment, a community life which is always gated for protection purposes, well managed sewage system and much more. The locality is well settled with all kinds of facilities available within a mile like hospital, banking, ATM, petrol pump, and bus station, school etc. The entire project is set for moving in purpose.",Possession date: Jun'21,1804 sq ft(3BHK+3T),3 BHK,"492 - 1,804 sq ft",₹ 23.07 L - ₹ 84.61 L,"1, 2, 3 BHK",693,
DS Splendid,DS Max Properties,Nagarbhavi,Under Construction,"DS Max Splendid is a housing community in Nagarbhavi, Bangalore. Presently under construction. The community has several facilities on offer like swimming pool, gymnasium, jogging track, and children’s play area and intercom services. DS Max Properties is one of Bangalore’s prolific real estate developers. They have ninety six properties to their name, forty four of which are under construction. Some of them are located in Jalahalli and JP Nagar Phase 4. Nagarbhavi is located near to thoroughfares such as 80 Feet Main Road, Magadi Road and Malagalu Main Road.",Possession date: May'19,1936 sq ft(3BHK+2T),3 BHK,"600 - 1,936 sq ft",₹ 35.56 L - ₹ 54.21 L,"1, 2, 3 BHK",96,RERA ID: PR/KN/170831/001707
Kumari Amaranthine,Kumari,Bellandur,Under Construction,"The upcoming project of Kumari Builders and Developers named as Amaranthine is being set up in Bellandur region of Bengaluru. It is transforming into a residential area which is equipped with all modern amenities and facilities. The entire project is under construction and the apartments will be available from the developer only. Amenities like shopping mall, grocery stores, medicine shops, hospital, educational institutions and ATM branches are available within a kilometre of this elite project. The in campus facilities include a gymnasium, a cafeteria, an indoor games facility and a club house.",Possession date: Dec'18,1530 sq ft(3BHK+2T),3 BHK,"1,130 - 1,530 sq ft",₹ 70.15 L - ₹ 93.26 L,"2, 3 BHK",99,RERA ID: PR/KN/170916/002090
The Address The Central Regency Address,The Address Maker,Bellandur,Under Construction,"Situated in Bellandur, Bangalore, The Central Regency Address is a gated community. The project is in its prelaunch phase and the units can be availed through the developer. They are of varying configurations and sizes. The Address Maker is a renowned property developer of Bangalore. They have numerous projects to their name, some of which are under construction. Most of their projects are located towards the west of the city. Bellandur is a part of southeast Bangalore. The area is well-linked to neighbourhoods such as Whitefield and ITPL via the Outer Ring Road. The KR Puram Railway Station is the nearest to the neighbourhood.",Possession date: Aug'20,2200 sq ft(3BHK+3T),3 BHK,"1,452 - 2,200 sq ft",₹ 86.97 L - ₹ 1.32 Cr,"2, 3 BHK",100,RERA ID: PR/KN/170731/000123
Sterling Ascentia,Sterling,Bellandur,Under Construction,"Sterling Developers brings to you yet another grand project, Ascentia, in Bellandur, Bangalore. Sprawling across 6 acres of land area. The apartments offer amenities like tennis court, pool deck, rainwater harvesting facility, library, jogging track, swimming pool, club house, gymnasium and many more. Bellandur enjoys smooth and fast connectivity to all prime areas of the city. The locality hosts the presence of various educational institutions and hospitals. Located in close proximity to everyday services like office complexes, supermarkets, restaurants, bus stations, petrol pumps, banks, train stations, shopping malls and ATMs.",Possession date: Jun'19,2015 sq ft(3BHK+3T + Servant Room),3 BHK,"1,591 - 2,015 sq ft",₹ 98.64 L - ₹ 1.25 Cr,3 BHK,168,RERA ID: PR/KN/170731/000563
Vajram Esteva,Vajram,Bellandur,Under Construction,"Vajram Esteva, located in Bellandur, Bangalore, offers apartments. It provides amenities such as swimming pool, club house, landscaped gardens and car parking.This suburb of Bangalore has, in recent years, emerged to be a self-sufficient township owing to the IT/ITES boom and close proximity to key places such as HAL Airport, Whitefield, Electronic City and Sarjapur. The network of roads and public transportation is quite well-developed. Located approximately at a distance of 20 kilometres from Bangalore city, Bellandur has BMTC buses operating within it. Vajram Group, with its experience of 6 years, has 8 projects in total.",Possession date: Nov'19,3232 sq ft(4BHK+4T   Servant Room),4 BHK,"2,095 - 3,232 sq ft",₹ 1.20 Cr - ₹ 1.86 Cr,"3, 4 BHK",106,RERA ID: PR/KN/170729/000254
Adarsh Palm Retreat Lake Front,Adarsh Developers,Bellandur,Under Construction,"Located in Bellandur, Bangalore, Palm Retreat Lake Front is a premium housing project launched by Adarsh. The project offers Apartment in 2, 3, 4 BHK configurations available from 1341 sqft to 2917 sqft. These units in Outer Ring Road, are available at an attractive price points starting at @Rs 6,200 per sqft and will be available to buyers at a starting price of Rs 83.14 lacs. The project is Under Construction project and possession in Dec 18. Palm Retreat Lake Front has many amenities, such as Power Backup, CCTV Surveillance, Skating Rink, Fire Fighting Arrangements, Badminton Courts etc.",Possession date: Dec'18,2917 sq ft(4BHK+4T   Servant Room),4 BHK,"1,341 - 2,917 sq ft",₹ 83.14 L - ₹ 1.81 Cr,"2, 3, 4 BHK",540,
DNR Reflection,DNR Group,Bellandur,Under Construction,"Bellandur region of Bangalore is one of the popular areas because of the real estate projects. One of them is the DNR Group Reflection Residency project which offers apartments. The area of each apartment is spacious and well-designed. The region where this apartment is available is well surrounded by restaurant, bus station, atm, bank, train station, park, school, petrol pump, hospital, etc. The different amenities offered by this project are a gym, a club house, a multipurpose room, and play ground for children, 24 hours security, a power back up system and much more. The cost of the apartments can be availed on request.",Possession date: Dec'18,3250 sq ft(4BHK+5T + Servant Room),4 BHK,"1,910 - 3,250 sq ft",₹ 1.26 Cr - ₹ 2.15 Cr,"3, 4 BHK",179,RERA ID: PR/KN/170729/000279
Rohan Iksha,Rohan Builders and Developers,Bellandur,Under Construction,"Iksha project have been registered on Rera with following rera id's-PR/KN/170731/000887(ROHAN IKSHA BLOCK A), PR/KN/171107/002237(ROHAN IKSHA BLOCK B). Rohan Builders Pune Group presents its prestigious residential project Iksha. Located at Bellandur inBangalore, it offers well-designed 1, 2, 3 and 4 BHK apartments for sale. The project is currently in an under-construction stage with the apartments available in the size ranging from 293 sq ft to 2,171 sq ft. Spreading in an area of 8.5 acres, it is available only via resale mode. The possession is likely to be in March 2018. Key amenities offered include a power backup provision, a kids play area, a 24*7 security system, a car parking area and an elevator. Bellandur is well-connected to other parts of Bangalore via a network of roads, railway and public transport. With many educational institutions, recreational centres, shopping malls and hospitals in the vicinity, this area is sought after for residential properties.",Possession date: Jun'21,2257 sq ft(4BHK+4T),4 BHK,"145 - 2,257 sq ft",₹ 15.68 L - ₹ 1.21 Cr,"1, 2, 3, 4 BHK",479,
Provident The Tree,Provident Housing,Nagarbhavi,Under Construction,"Provident the Tree Group of Construction has developed a new residential project in Nagarbhavi region of Bangalore. The project is a new launch and is offering great and spacious apartments. The facilities like childrens play ground, an intercom system, 24 hours security system, ample space for car parking, gym, swimming pool, a multipurpose room for all kinds of activities, rain water harvesting system, a beautiful landscaped garden along with generator power back up. All necessities like school, hospital, park, restaurant, bank, atm, a play school, petrol pump, park, train station, bus station etc are all present in the neighbourhood.",Possession date: Mar'19,1380 sq ft(3BHK+3T),3 BHK,"605 - 1,380 sq ft",₹ 28.13 L - ₹ 64.17 L,"1, 2, 3 BHK",388,
Anubhava Ishwerya Classic,Anubhava,Banaswadi,Under Construction,"Located in Banaswadi, Bangalore, Classic by Anubhava Ishwerya developers offers 2 and 3 BHK apartments, with the price being on request. The amenities include an intercom facility, a 24x7 security services, a power backup facility, a landscaped garden, a car parking area and elevators. Situated in the north-east of Bengaluru, Banaswadi is a residential locality which lies at a distance of within 8 kilometres from Manyata Tech Park, the biggest IT park in the city. The Bengaluru airport is at a distance of 10 kilometres while the city Railway Station lies 5 kilometres away. The major educational institutions of the area include New Baldwin Residential School, BET College, Bengaluru College and Vivekananda College. Dewans Hospital, La Medicare, and a few others are some of the reputed hospitals in the vicinity.",Possession date: Jan'19,1360 sq ft(3BHK+3T),3 BHK,"1,360 - 1,875 sq ft",₹ 67.32 L - ₹ 92.81 L,"2, 3 BHK",8,
Reddy Ceyone,Sree Reddy Properties,Banaswadi,Under Construction,"Sree Reddy Properties has launched its premium housing project, Ceyone, in Banaswadi, Bangalore. The project offers 3 BHK Apartment from 1226 sqft to 1451 sqft in Outer Ring Road. Among the many luxurious amenities that the project hosts are Lift Available, Solar Water Heater, Overhead Water Tank, Carwash Facility, Car Parking etc. Starting at @Rs 5,500 per sqft,Apartment are available for sale from Rs 67.43 lacs to Rs 79.81 lacs. Sree Reddy Properties Ceyone is Launch project and possession in Jul 18.",Possession date: Nov'18,1451 sq ft(3BHK+3T),3 BHK,"1,226 - 1,451 sq ft",₹ 67.43 L - ₹ 79.81 L,3 BHK,30,
DS Sarovar,DS Max Properties,Attibele,Under Construction,"Bangalore is a very fast growing city in terms of real estate matters. DS Max Sarovar group has developed a project in the Attibele region which delivers luxurious and great apartments. The entire project is all set for moving in purpose. The required necessities like park, petrol pump, school, ATM, bank, hospital etc. in the neighbourhood. The amenities provided by this project is a playground for the kids, security for 24 hours and a beautiful landscaped garden, swimming pool, creche day centre, aerobics area, library, snooker facilities, meditation plaza, cards room, badminton court, wall climbing, gym, power back up system, and much more. The cost of the apartments is based on the request value.",Possession date: Nov'18,2042 sq ft(3BHK+3T),3 BHK,"536 - 2,042 sq ft",₹ 13.40 L - ₹ 51.05 L,"1, 2, 3 BHK",392,
Vmaks Laurel,Vmaks,Attibele,Under Construction,"Vmaks Laurel Bangalore offers 2 and 3 BHK apartments. The project consists with several amenities for residents including a well equipped gymnasium, intercom facilities, playing zone for children, landscaped gardens, club house, jogging track, rainwater harvesting system and power backup facilities. Located at Attibele, the project is well connected to several areas through the National Highway 7. The area is also home to several leading companies including TVS Motors, Infosys Technologies Limited and Hewlett Packard among others. There are several reputed educational institutions present in the area.",Possession date: Sep'18,1656 sq ft(3BHK+3T),3 BHK,"1,155 - 1,656 sq ft",₹ 31.18 L - ₹ 44.71 L,"2, 3 BHK",208,RERA ID: PR/KN/170731/000889
Assetz Here and Now,Assetz Property Group,Thanisandra,Under Construction,"Here and Now presented by Assetz Property Group is located at Thanisandra in Bangalore. It offers well-designed 1 and 2 BHK apartments for sale. This housing project is currently in an under-construction stage with the size of the apartments ranging from 385 sq ft to 995 sq ft. The mode of availability is only through the developer. Spreading in an area of 3 acres, the possession is likely to be in December 2020. Thanisandra is well-connected via roads, railways and public transport. The areas social infrastructure is well-developed and it has premium educational institutions, popular hospitals, bank and ATM branches in the neighbourhood.",Possession date: Dec'20,995 sq ft(2BHK+2T),2 BHK,385 - 995 sq ft,₹ 19.63 L - ₹ 50.74 L,"1, 2 BHK",192,RERA ID: PR/KN/170731/000797
Salarpuria Cadenza,Salarpuria Sattva Group,Kudlu,Under Construction,"Salarpuria Cadenza is a residential community being developed in Kudlu, Bangalore. The community offers spacious 1, 2 and 3BHK flats. Covering an expanse of 5.8 acres, the community shall comprise of the dwelling units and amenities for the benefit of home owners. Some of the amenities offered within the community include intercom services in every home, community hall; kids’ play area, swimming pool, and gymnasium and club house.The SalarpuriaSattva Group is one of Bangalore’s well known property developers, having worked on twenty nine projects in twenty nine years. Twelve of their properties are underway currently. Some of their projects are located in JeevanBima Nagar and Vijay Nagar. They are known for their attention to customer needs and incorporation of modern architectural trends in their construcitons. A township located towards southeast Bangalore, Kudlu is bounded by the Kudlu Main Road on the west and Haralur Road towards the East. The Bangalore City Railway Station is 17.2 kilometres from here while the Kempegowda International Airport is 48.3 kilometres from here.",Possession date: Dec'18,1850 sq ft(3BHK+3T),3 BHK,"703 - 1,850 sq ft",₹ 41.13 L - ₹ 1.08 Cr,"1, 2, 3 BHK",513,RERA ID: PR/KN/170731/000501
Keystone Sai Prithvi Elite,Keystone Properties,Kengeri,Under Construction,"Keystone Properties Sai Prithvi Elite Company is developing apartments in the Kengeri region of Bengaluru. They have availability luxurious Apartments. This project has all the required amenities like security surveillance for 24 hours, beautiful landscaped garden, individual parking area for each plot area, rain water harvesting system, a a playground for the sole benefit of the children and also for their entertainment, which is always gated for protection purposes, well managed sewage system and much more. The locality is well settled with all kinds of facilities available within a mile like hospitals, banking, ATMâ€™s, petrol pumps, and bus stations, schools etc. The entire project is set for moving in purpose.",Possession date: Dec'18,1375 sq ft(3BHK+3T),3 BHK,"660 - 1,375 sq ft",₹ 18.15 L - ₹ 37.81 L,"1, 2, 3 BHK",84,
Peace Rhythm,A Peace Projects,Kengeri,Under Construction,,Possession date: Dec'18,1694 sq ft(3BHK+3T + Pooja Room),3 BHK,"1,029 - 1,694 sq ft",₹ 46.30 L - ₹ 76.23 L,"2, 3 BHK",60,RERA ID: PR/KN/170802/000992
Siri Heritage,Sai Siri Promoters,Kengeri,Under Construction,"The Sai Siri Promoters Heritage is offering prestigious complex with the availability of premium apartments. The project is all set for possession and is located at Kengeri region which is situated in Bengaluru. The necessary infrastructure like bank & ATM branches, hospital, educational institutions, restaurant, bus stops, railway station and petrol pump are found in the neighbourhood. The complex offers other facilities like an intercom facility, a playground for children and a 24-hour security system. The apartments are available from developer as well as from resale procedure.",Possession date: Oct'18,1565 sq ft(3BHK+2T),3 BHK,"1,015 - 1,565 sq ft",₹ 37.55 L - ₹ 57.91 L,"2, 3 BHK",120,
Prestige Leela Residences,Prestige Group,Kodihalli on Old Airport Road,Under Construction,"Leela Residences, located amidst landscaped gardens and eco-friendly environment, is one of the most awaited projects from Prestige Group. Equipped with luxurious amenities such as swimming pool, children's play area, club house, multipurpose room, intercom facility, 24x7 security, power backup, landscaped gardens, gymnasium, lifts, billiards, mini theatre, indoor/outdoor party area, super market space, unisex parlour space and many more. The apartment is furnished with vitrified tiles, teak wood frames for doors and well-designed bedrooms.. Prominently located in Kodihalli, Bangalore, Leela Residences offers easy connectivity to major landmarks of the city and is surrounded by other developed places like Frazer Town, Chikballapur, Vasanth Nagar and Jakkur. The presence of many reputed schools and education institutes in the area makes it an option worth investing in.",Possession date: Feb'19,6879 sq ft(4BHK+5T + Servant Room),4 BHK,"2,920 - 6,879 sq ft",₹ 6.20 Cr - ₹ 14.61 Cr,"3, 4 BHK",88,RERA ID: PR/KN/170727/000077
Mantri Lithos,Mantri Group,Thanisandra,Under Construction,"Lithos by Mantri Group, located in Thanisandra, Bangalore, offers 2 and 3 BHK apartments. It provides amenities such as gymnasium, swimming pool, childrens play area, club house, rainwater harvesting, intercom, 24x7 security, jogging track, landscaped gardens, indoor games, squash court, basketball post, chess, carom, concierge, library, walking trail, pool table, indoor badminton court, well equipped health club, billiards, sauna and massage. Situtated in the state of Karnatake, Thanisandra is an upcoming locality of North Bangalore. They key builders include Supertech, Mantri, Unishire and ATZ properties.",Possession date: Dec'18,3350 sq ft(3BHK+3T + Study Room),3 BHK,"1,355 - 3,350 sq ft",₹ 94.71 L - ₹ 2.61 Cr,"2, 3 BHK",528,RERA ID: PR/KN/170731/000444
ATZ Ultima,ATZ Properties,Thanisandra,Under Construction,"Launched by ATZ Properties, Ultima, is a premium housing project located at Thanisandra in Bangalore. Offering 2, 3 BHK Apartment in Bangalore North are available from 1030 sqft to 2100 sqft. This project hosts amenities like Children's play area, Maintenance Staff, Car Parking, Power Backup, Intercom etc. Available at attractive price points starting at @Rs 4,000 per sqft, the Apartment are available for sale from Rs 41.20 lacs to Rs 84.00 lacs. The project is Under Construction project and possession in Dec 18.",Possession date: Dec'18,2100 sq ft(3BHK+3T),3 BHK,"1,030 - 2,100 sq ft",₹ 51.50 L - ₹ 1.05 Cr,"2, 3 BHK",162,
Mantri Energia,Mantri Group,Thanisandra,Under Construction,"Situated right inside the Manyata Tech Park at Bangalore, the Mantri Energia real estate project has multiple attractions to offer to the residents. This project comes with 2 & 3BHK apartments. It seeks to create a soothing ambience for the residents amidst natural greenery. This has been strategically located right next to the Manyata Tech Park and lies in close proximity to the well-known Outer Ring Road that connects BIAL to the northward regions of the city. The project is only 3 kilometres away from the Columbia Asia hospital and 8 kilometres away from the MG Road and CBD. The airport less than 2 kilometres away and this will certainly be a major attraction for the customers. The project offer stylish and sleek apartments to the residents and epitomizes cosy and comfortable living.",Possession date: Dec'19,1355 sq ft(3BHK+3T),3 BHK,"985 - 1,355 sq ft",₹ 62.94 L - ₹ 86.58 L,"2, 3 BHK",888,RERA ID: PR/KN/170731/000439
Sai Ultima,Sai Kalyan,Thanisandra,Under Construction,"Thanisandra region of Bengaluru is a developing region for the prosperity of real estate business. Sai Kalyan Ultima organization is offering spacious apartments. The project is all set for moving in purpose. The required necessities like parks, petrol pumps, schools, restaurants, bus stations, ATMs, banks, hospitals etc in the neighbourhood. This neighbourhood of Mumbai is very much popular as many other real estate companies have settled their business in this region. The project offers other amenities like an intercom, security for 24 hours and power back up. The price of the apartments is based on the request value.",Possession date: Dec'19,2100 sq ft(3BHK+3T),3 BHK,"1,030 - 2,100 sq ft",₹ 48.41 L - ₹ 98.70 L,"2, 3 BHK",244,RERA ID: PR/KN/170808/001218
